"Marca temporal","Resultado del test","Nombre del archivo subido. Ejemplo (ID_612050246567501450)","¿Cuál es tu edad?","Define tu nivel de experiencia jugando a videojuegos (EN GENERAL)","Define tu nivel de experiencia jugando a videojuegos de PLATAFORMAS","Resulta fácil realizar un wall-jump (saltos de una pared a otra)","Resulta fácil realizar un cambio de gravedad","¿Cuál ha sido tu percepción de la dificultad del videojuego en cada nivel? [Nivel 1]","¿Cuál ha sido tu percepción de la dificultad del videojuego en cada nivel? [Nivel 2]","¿Cuál ha sido tu percepción de la dificultad del videojuego en cada nivel? [Nivel 3]","¿Cuál ha sido tu percepción de la dificultad del videojuego en cada nivel? [Nivel 4]"
"2022/05/10 8:06:18 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1mygvdIfnZNjn8nf_5SnPjm0IVn-DJXjk","ID_5396373263300175628","20-29","4","4","4","4","Muy fácil","Muy fácil","Muy fácil","Fácil"
"2022/05/10 8:22:01 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1oo3IkYXjEMN6qFPmSNVVWkW2pmigsMXP","ID_1060054125199479874","20-29","4","3","4","2","Muy fácil","Difícil","Fácil","Muy fácil"
"2022/05/10 8:30:32 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1AIe6ymkIHcpk3WwL9GSgU-fU1i08VSbe","ID_3431184112073942146","20-29","4","3","2","1","Fácil","Fácil","Difícil","Difícil"
"2022/05/10 8:37:16 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1-VLktSF0E3TJyUrCUCOQKoptvC8H7cmG","ID8306549292269701027.json","20-29","4","3","3","3","Fácil","Fácil","Fácil","Difícil"
"2022/05/10 8:53:19 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1SbrA9U-M1DGJ06gYU4Rie7_bJFceSi5l","ID_8784241156395321751","20-29","1","1","3","3","Fácil","Fácil","Difícil","Difícil"
"2022/05/10 8:53:20 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1z88GLomUMRle5Zy0cD_2frgAiWDYtPwk","ID_720903916347466098.json","20-29","4","4","3","3","Fácil","Fácil","Fácil","Fácil"
"2022/05/10 8:53:55 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1xH_BRB0G6dRHmKgUo3BNxM_jKgq0Sah8","ID_6767068607634794974","20-29","4","4","3","4","Muy fácil","Fácil","Fácil","Fácil"
"2022/05/10 8:56:26 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1fBRPudZljxoGiUSXNfa4KxGIS3B7G3Jd","ID_6482124813547979832","20-29","4","4","2","2","Muy fácil","Muy fácil","Muy fácil","Muy fácil"
"2022/05/10 9:01:33 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1lNzTh6n5-n8PmHhPFKBKwWA9eAIHzU0N","ID_3176749400178762521","20-29","2","2","3","3","Muy fácil","Fácil","Difícil","Difícil"
"2022/05/10 9:01:33 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=12WLerQQ0QTecLcPPjHfcHqZ3Zmvij85-","ID_1030424204065505273","20-29","4","4","4","4","Muy fácil","Muy fácil","Muy fácil","Muy fácil"
"2022/05/10 9:05:04 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1Xc4V1Hzuk5sTeP1gOQwN2-Yia7KoNER7","ID_3473217401401655849","10-19","4","3","2","4","Muy fácil","Fácil","Fácil","Difícil"
"2022/05/10 9:05:22 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1rEGuShEP1ifL5S4MqEa9hUKyJQw1arfr","ID_584028128175508045","20-29","4","4","2","4","Muy fácil","Muy fácil","Muy fácil","Muy fácil"
"2022/05/10 9:05:58 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1jrlmJkRwp_LhIaRxWXHxWl72A0objcI4","ID_552357703941045083","20-29","4","4","3","3","Muy fácil","Muy fácil","Fácil","Fácil"
"2022/05/10 9:14:26 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1MkcO-l6NCRH6fXHh0mGFYnwXcRywPThF","ID_7863459130852933545","30-39","4","4","2","4","Fácil","Muy fácil","Fácil","Fácil"
"2022/05/10 9:14:45 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1150hBDdcDFuyYR8Q30Lzt-5tX8F4V3gA","ID_993661463147866305","20-29","3","2","2","1","Muy fácil","Fácil","Muy Difícil","Fácil"
"2022/05/10 9:18:45 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=11dCJhU6C1Huo6gu8jEy2r2ZfF06uY_JW","ID_5680928910439062504","10-19","4","2","2","3","Fácil","Fácil","Fácil","Difícil"
"2022/05/10 9:20:16 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1ip63nSevSplSKJP5s8bzTiLML5fuRrbs","ID_8169315031967023114","20-29","4","4","4","3","Muy fácil","Muy fácil","Difícil","Fácil"
"2022/05/10 9:20:20 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1R3s6FweGnvrw18g4CDkCXaY_w5NwPuo8","ID_4564904434084734150","20-29","3","2","4","4","Muy fácil","Muy fácil","Fácil","Fácil"
"2022/05/10 9:24:11 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=15DQC3mjUYCSizSgRxJulO8GBncLnaPSv","ID_2531559596144450689","20-29","3","3","2","4","Muy fácil","Fácil","Difícil","Difícil"
"2022/05/10 9:25:28 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1TDKUmYK4XS77Cq0lIr8pr6AepyExC6sB","ID_2323901997094579692","20-29","4","2","4","3","Muy fácil","Fácil","Fácil","Difícil"
"2022/05/10 9:25:56 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1YlMQC8lDgJwCcITOdwKx2dAW3WkJEAz-","ID_1482842417835807299.json","10-19","2","2","4","2","Muy fácil","Fácil","Difícil","Difícil"
"2022/05/10 9:38:40 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1zTPAu8EDe4REwfTfD0FtLWUGKqCVlH34","ID_6301765913365715740","20-29","4","4","2","2","Muy fácil","Fácil","Fácil","Fácil"
"2022/05/10 9:40:54 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=19_poiWhh0oKcDXe6_tPujmPjpKYPjlSY","ID_3247902224937165610","20-29","4","3","3","3","Muy fácil","Muy fácil","Difícil","Fácil"
"2022/05/10 10:04:22 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=10c1jnbtwsCmCYL3zJ5raKz23_J2YoU3i","ID_4535192451430987068","10-19","3","2","4","3","Muy fácil","Fácil","Fácil","Fácil"
"2022/05/10 10:06:04 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1j6VCdTAwERRkG56cXpW0h0hRw0VdEkjv","ID_5627269704990616138","40-59","3","4","2","2","Muy fácil","Fácil","Difícil","Difícil"
"2022/05/10 10:06:53 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=13WGJnendTc11Fousanc4QyVkVmRNF_dj","ID_4147301735535882507","20-29","3","3","2","1","Muy fácil","Fácil","Fácil","Difícil"
"2022/05/10 10:08:00 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1VXkktfkPhUf4W5KrDFryfjOwwHFSTGaC","ID_8558663873971432333","20-29","4","4","2","4","Muy fácil","Muy fácil","Fácil","Fácil"
"2022/05/10 10:08:16 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1_clC637r4t2oUgx9aKm9sv0zTjg0BBRA","ID_8671849818114185479","20-29","4","4","2","4","Muy fácil","Fácil","Fácil","Fácil"
"2022/05/10 10:18:59 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1-x3JQW-LH6SNw5C0XY-oeYIKo5KbvkS9","ID_4201470554981425180","20-29","4","2","3","3","Fácil","Muy Difícil","Muy fácil","Muy fácil"
"2022/05/10 10:22:30 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1AA6cP4VgQJ8ulUO8dwhvYIVWUyPSb7g3","ID_8406291744839928557","20-29","3","3","4","3","Muy fácil","Muy fácil","Fácil","Fácil"
"2022/05/10 10:35:02 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1oOhAwGYvHNzZAOXhqFqZhAUKd_rEu_mo","ID_1908151240582397456","10-19","2","3","3","4","Muy fácil","Muy fácil","Fácil","Difícil"
